Step, Max_Movement
0, 0.08413632959127426
1, 0.05793618783354759
2, 0.05887884646654129
3, 0.037430718541145325
4, 0.03258994221687317
5, 0.027784885838627815
6, 0.027065984904766083
7, 0.027721313759684563
8, 0.03009060025215149
9, 0.026903148740530014
10, 0.02233605831861496
11, 0.020682448521256447
12, 0.02066589891910553
13, 0.022136736661195755
14, 0.017330506816506386
15, 0.013185562565922737
16, 0.010243810713291168
17, 0.012551081366837025
18, 0.008398788049817085
19, 0.005508235190063715
20, 0.011980372481048107
21, 0.009133090265095234
22, 0.010847778059542179
23, 0.010272637940943241
24, 0.009480718523263931
25, 0.008192858658730984
26, 0.009814185090363026
27, 0.007948609068989754
28, 0.010184340178966522
29, 0.009914083406329155
30, 0.010777558200061321
31, 0.0115531450137496
32, 0.011876216158270836
33, 0.01513583678752184
34, 0.016342224553227425
35, 0.017583195120096207
36, 0.017436472699046135
37, 0.020224498584866524
38, 0.017852934077382088
39, 0.010412324219942093
40, 0.012779799290001392
41, 0.01999473199248314
42, 0.01298465859144926
43, 0.017230531200766563
44, 0.013970780186355114
45, 0.009988710284233093
46, 0.008213752880692482
47, 0.008228607475757599
48, 0.005033432971686125
49, 0.0037733917124569416
